pref_drw;neck;preform_weight;preform_length;thickness;max_diam;under_supportledge_diam;base_thikness;partingline_height;partingline_diam;neck_weight;neck_nominal_diam;neck_support_ledge_diam;neck_internal_diam;neck_height;n_leads;shape;machine;cavitation;cycle_time
PN005650_00;38mm BERICAP h.16,5;72,00;150,00;3,72;39,80;37,20;2,98;40,00;0,00;4,4;38;43;33,4;16,5;3;Reverse;;48;18,9
PN008592_00;38mm BERICAP h.16,5;67,00;140,00;3,71;40,00;37,00;2,96;42,50;39,97;4,4;38;43;33,4;16,5;3;Reverse;;32;17,7
PN010113_01;38mm BERICAP h.16,5;64,00;155,00;3,14;39,25;37,20;2,45;42,50;39,23;4,4;38;43;33,4;16,5;3;Reverse;;48;15,4
PN010113_00;38mm BERICAP h.16,5;64,00;155,00;3,14;39,25;37,20;2,45;42,50;39,23;4,4;38;43;33,4;16,5;3;Reverse;;48;15,4
PN010411_00;38mm BERICAP h.16,5;44,00;123,00;3,73;29,50;36,00;2,98;23,00;34,56;4,4;38;43;33,4;16,5;3;Bell;160;48;17,5
PN010405_00;38mm BERICAP h.16,5;34,00;123,00;2,60;29,50;36,00;2,21;23,00;34,56;4,4;38;43;33,4;16,5;3;Bell;160;48;14
PN010412_00;38mm BERICAP h.16,5;32,00;115,70;2,60;29,50;36,00;2,21;23,00;34,56;4,4;38;43;33,4;16,5;3;Bell;160;48;13,8
PN008636_00;38mm BERICAP h.16,5;32,00;104,00;3,93;25,20;36,00;2,95;20,80;36,00;4,4;38;43;33,4;16,5;3;Bell;;72;14,5
PN008633_00;38mm BERICAP h.16,5;29,00;104,00;3,35;25,20;36,00;2,68;20,80;36,00;4,4;38;43;33,4;16,5;3;Bell;;72;11,9
PN008635_00;38mm BERICAP h.16,5;26,50;104,00;2,91;25,20;36,00;2,33;20,80;36,00;4,4;38;43;33,4;16,5;3;Bell;;72;10,9
PN010147_01;38mm BERICAP h.16,5;20,00;76,00;3,35;22,40;35,50;2,95;21,00;35,17;4,4;38;43;33,4;16,5;3;Bell;160;32;13,5
PN008759_00;38mm NECK FINISH;35,00;110,00;3,91;25,00;35,00;2,74;18,00;33,57;3,95;38;41,1;31,3;12;1;Bell;;72;14,9
PN008760_00;38mm NECK FINISH;32,00;110,00;3,22;25,00;35,00;2,25;18,00;33,57;3,95;38;41,1;31,3;12;1;Bell;;72;13
PN010100_00;38mm NECK FINISH;30,00;98,75;3,15;27,90;34,80;2,72;17,00;34,80;3,95;38;41,1;31,3;12;1;Bell;;48;11,7
PN008766_00;38mm NECK FINISH;28,00;96,00;3,21;25,00;35,00;2,25;18,00;33,57;3,95;38;41,1;31,3;12;1;Bell;;72;12,2
PN006957_00;43mm SINGLE THREAD;90,00;158,50;4,45;41,00;38,50;2,71;44,00;0,00;4,9;43;44,5;37,8;16,9;1;Reverse;;32;24,5
PN006982_00;43mm SINGLE THREAD;60,00;137,00;3,29;40,50;40,50;2,28;21,90;0,00;4,9;43;44,5;37,8;16,9;1;Straight;;32;15,9
PN006541_01;43mm SINGLE THREAD;60,00;137,00;3,29;40,50;40,50;2,28;21,90;0,00;4,9;43;44,5;37,8;16,9;1;Straight;;32;15,9
PN006541_00;43mm SINGLE THREAD;60,00;137,00;3,26;40,50;40,50;2,61;21,90;0,00;4,9;43;44,5;37,8;16,9;1;Straight;;32;15,9
PN006412_00;43mm SINGLE THREAD;50,00;124,40;3,45;35,00;40,50;2,97;21,90;0,00;4,9;43;44,5;37,8;16,9;1;Bell;;32;14,5
PN008124_00;45mm 3 LEADS;90,00;150,00;3,82;47,39;45,40;2,79;48,00;47,34;10,1;45;51,4;40,16;26;3;Reverse;;48;18,9
PN008059_00;45mm 3 LEADS;73,00;140,00;3,31;46,40;44,20;2,70;46,50;0,00;10,1;45;51,4;40,16;26;3;Reverse;;48;16,7
PN006554_00;46mm FOR PUSH CAP;99,70;148,95;4,30;46,83;44,00;3,17;52,00;0,00;9,36;46;51,99;38,85;16,1;0;Reverse;;72;25,5
PN009898_02;48mm BERICAP 3 LEADS;120,00;160,00;4,98;48,00;44,70;3,99;45,00;47,90;9,1;48;51,6;41,1;19,5;3;Reverse;;32;29,5
PN009898_02;48mm BERICAP 3 LEADS;120,00;160,00;4,98;48,00;44,70;3,99;45,00;47,90;9,1;48;51,6;41,1;19,5;3;Reverse;;24;29,5
PN009899_02;48mm BERICAP 3 LEADS;118,00;190,00;4,24;48,01;44,70;3,05;45,00;47,94;9,1;48;51,6;41,1;19,5;3;Reverse;;24;25,9
PN010135_01;48mm BERICAP 3 LEADS;105,00;160,00;4,22;48,00;44,70;3,38;45,00;47,90;9,1;48;51,6;41,1;19,5;3;Reverse;;24;26
PN010135_00;48mm BERICAP 3 LEADS;105,00;150,00;4,68;46,00;44,50;3,93;42,00;45,96;9,1;48;51,6;41,1;19,5;3;Reverse;;24;26
PN007470_00;48mm BERICAP 3 LEADS;90,00;144,56;4,05;46,60;44,80;2,84;43,00;46,55;9,1;48;51,6;41,1;19,5;3;Reverse;;32;20,7
PN009898_01;48mm BERICAP 3 LEADS;78,00;150,00;3,15;46,00;44,50;2,68;42,00;45,96;9,1;48;51,6;41,1;19,5;3;Reverse;;24;16,9
PN006764_00;50mm SINGLE THREAD;682,70;381,60;10,00;61,28;50,50;7,00;94,00;0,00;50,1;50;65,73;42;44,06;1;Reverse;;12;125
PN005136_03;50mm SINGLE THREAD;682,70;320,00;12,00;65,29;50,50;8,40;94,00;0,00;50,1;50;65,73;42;44,06;1;Reverse;;2;82
PN006765_00;50mm SINGLE THREAD;632,80;356,04;10,00;61,28;50,50;7,00;94,00;0,00;50,1;50;65,73;42;44,06;1;Reverse;;12;120
PN005136_04;50mm SINGLE THREAD;632,80;300,00;12,00;65,29;50,50;8,40;94,00;0,00;50,1;50;65,73;42;44,06;1;Reverse;;2;80
PN007722_00;55mm FOR PUSH CAP h.35,4;650,00;375,00;9,38;65,34;52,80;7,95;98,00;65,25;22,16;55;54,4;48;35,38;0;Reverse;;2;105
PN010012_01;63mm 3 LEADS;480,00;265,26;8,03;69,73;64,00;5,70;60,00;69,64;23,8;63;75;54,2;22;3;Reverse;;12;69
PN010450_00;63mm 3 LEADS;479,74;260,00;8,39;68,60;64,00;5,00;72,00;68,56;23,8;63;75;54,2;22;3;Reverse;;12;74
PN009992_00;63mm 4 LEADS;30,00;64,00;3,08;56,00;56,00;2,30;12,40;62,00;7,4;63;62;54,5;13;4;Straight;;32;16,3
PN010012_00;63mm SINGLE LEAD;480,00;270,00;8,03;69,26;64,00;5,70;71,00;69,17;38,2;63;75;53,8;33;1;Reverse;;12;69
PN006335_00;70mm 2 LEADS;26,50;60,05;3,00;64,74;64,74;1,90;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;10,9
PN006335_00;70mm 2 LEADS;26,50;60,05;3,00;64,74;64,74;1,90;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;10,9
PN006335_00;70mm 2 LEADS;26,50;60,05;3,00;64,74;64,74;1,90;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;10,9
PN006716_02;70mm 2 LEADS;25,20;55,00;3,20;64,72;64,72;2,00;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;13,9
PN006743_00;70mm 2 LEADS;25,20;50,80;3,10;64,72;64,72;2,39;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;13,6
PN006720_00;70mm 2 LEADS;25,20;50,80;3,02;64,72;64,72;2,00;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;13,9
PN006719_00;70mm 2 LEADS;25,20;55,00;2,90;64,72;64,72;2,00;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;13,7
PN006465_00;70mm 2 LEADS;25,20;55,00;3,50;64,72;64,72;2,00;12,91;0,00;7;70;69,04;63,63;13,16;2;Straight;;32;12,5
PN004380_00;77mm;300,00;225,00;5,04;77,50;74,00;4,29;46,00;0,00;19,4;77;80,8;70;22,6;1;Reverse;;16;44,7
PN006540_00;83mm;46,00;73,00;3,70;77,57;77,57;2,05;16,89;0,00;10,8;83;82,55;76,5;17,14;1;Straight;;24;17,2
PN006333_00;83mm;46,00;74,00;3,25;58,61;77,74;1,90;12,91;0,00;10,8;83;82,55;76,5;17,14;2;Bell;;24;12,8
PN006330_01;89mm;58,50;84,00;3,66;58,00;83,74;2,13;12,91;0,00;9,4;89;88,75;82,65;13,16;2;Bell;;24;15,7
PN006479_00;89mm;58,00;84,20;3,72;83,74;83,74;2,20;12,91;0,00;9,4;89;88,75;82,65;13,16;2;Straight;;24;18,9
PN006443_00;89mm;58,00;84,20;4,00;83,74;83,74;2,20;12,91;0,00;9,4;89;88,75;82,65;13,16;2;Straight;;24;18,9
PN006439_00;89mm;58,00;84,20;4,00;83,74;83,74;2,10;12,91;0,00;9,4;89;88,75;82,65;13,16;2;Straight;;24;18,5
PN006322_00;89mm;49,00;78,00;3,30;83,74;83,74;1,90;12,91;0,00;9,4;89;88,75;82,65;13,16;2;Straight;;24;12,5
PN009383_00;89mm SP400;46,50;78,00;2,88;81,10;81,10;2,16;13,60;88,70;10,4;89;88,7;81,9;14,1;1;Straight;;24;17,4
PN009584_01;M53 SP400 NECK FINISH;17,70;51,99;3,60;22,45;48,21;2,54;11,30;52,05;4,94;53;52,05;46,66;11,99;1;Bell;;48;16,9
PN009585_01;M63 SP400 NECK FINISH;27,44;62,99;3,62;34,03;58,20;2,65;11,30;62,06;5,95;63;62,06;56,68;11,99;1;Bell;;48;17,7
PN009586_01;M70 SP400 NECK FINISH;39,20;81,99;3,74;33,77;65,20;2,75;11,30;69,04;6,65;70;69,04;63,65;11,99;1;Bell;;32;19,9
