codbottle;volume;weight;product;ALTEZZAMAX;DIAMETROMAX;DESCRIZIONECOLLO;GASATURAPROVV;TIPOFONDODESC;UNITAMISURA;bottletype;DESCPIANTA;DENOMPROVVBOTT;;FILLLEVEL;ALTEZZAPETALO;CODIMPUGNATURA;VOLUMERASOBOCCA;COD_TIPO_BOTTIGLIA;SPALLA;DISEGNOCOLLO
C005674_01;330;12,8;ACQUA PIATTA;158;65;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 330 ml - California;;43,5;;;369,5;ND;CONVESSA;NOV-30/25 CLI
C005672_01;500;12,8;ACQUA PIATTA;215;65;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 500 ml - California;;43,6;;;537,2;ND;CONVESSA;NOV-30/25 CLI
C005670_01;1500;28;ACQUA PIATTA;333,9;88;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 1500 ml - California;;43,4;;;1537,2;ND;CONVESSA;NOV-30/25 CLI
C005679_00;950;32;ACQUA GASATA;261;83,5;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;FINN SPRING OY New 0.95L bottle;;38;35;1;967;ND;CONVESSA;PCO-CLIENTE
C005680_00;1000;21;ACQUA PIATTA;209,65;90,17;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;BIG 8 BEVERAGES LIMITED;;28,25;;;1018,9;ND;CONVESSA;DIS.CLIENTE
C005678_00;500;23,8;SUCCO;222;64;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;NATE 6 NAPOJOVA TECNIKA - 500ml Natura;;38,2;;1;521,3;ND;CONVESSA;PCO-CLIENTE
C005665_01;500;12,8;ACQUA PIATTA;217,9;65;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 500 ml - Private Label;;41,9;;;532,8;ND;CONVESSA;NOV-30/25 CLI
C005667_01;1500;28;ACQUA PIATTA;326,9;88;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 1500 ml - Private Label;;41,7;;;1535,3;ND;CONVESSA;NOV-30/25 CLI
C005676_00;500;19,5;OLIO;218;65;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;SAVOLA EDIBLE OILS SUDAN - 500ml;;32;;;520,8;ND;CONVESSA;PCO-CLIENTE
C004977_01;2000;59,7;SUCCO;271;115,45;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;QUADRA;CINQPET - 2,2 L Orosman;;32;;1;2248,4;ND;CONVESSA;38 mm CLIENTE
