codbottle;volume;weight;product;ALTEZZAMAX;DIAMETROMAX;DESCRIZIONECOLLO;GASATURAPROVV;TIPOFONDODESC;UNITAMISURA;bottletype;DESCPIANTA;DENOMPROVVBOTT;;FILLLEVEL;ALTEZZAPETALO;CODIMPUGNATURA;VOLUMERASOBOCCA;COD_TIPO_BOTTIGLIA;SPALLA;DISEGNOCOLLO
PC000604_00;500;19,9;ISOTONICO;213;63,5;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;STRAIGHT WALL;TONDA;Clearly Drinks Ltd - 500ml;;40,8;23,5;0;532,7;SW;CONVESSA;PCO-CLIENTE
C010882_01;2000;41,6;BIBITA GASATA;337,26;104;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola 2L Lt, 42,7g CONTOUR - EMBOTELLADORAS BEPENSA SA DE CV;;48,1;51;PI;2033,6;CC;CONICA;DIS.CLIENTE
C010897_01;1250;29,9;BIBITA GASATA;284,56;89,5;COLLO GENERICO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola Contour 1.25 Lt, 31,0 g - EMBOTELLADORAS BEPENSA SA DE CV;;37,7;37;PI;1269,3;CC;CONCAVA;DIS.CLIENTE
C010885_01;1500;34,5;BIBITA GASATA;306,06;95;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola 1.5 Lt, 42,7g - EMBOTELLADORAS BEPENSA SA DE CV;;46,3;38;PI;1530,8;CC;CONCAVA;DIS.CLIENTE
C010876_01;2500;49,5;BIBITA GASATA;362,05;113;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca Cola 2.5 Lt, 50,6g - EMBOTELLADORAS BEPENSA SA DE CV;;60;51;PI;2551,3;CC;CONCAVA;DIS.CLIENTE
C010928_00;1000;34,8;LATTE;248,5;52;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 1000ml dairy bottle design;;40,3;;0;1041,9;L;NON STANDARD;N000036_85
C010927_00;700;28,7;LATTE;211;81,18;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 700ml dairy bottle design;;28,6;;0;726,6;L;NON STANDARD;N000036_85
C010922_00;300;16,5;BIBITA GASATA;197,06;56,5;COLLO GENERICO SECONDO DIS. CLIENTE;1;PETALOIDE;ml;NON DEFINITA;TONDA;Varun - New format 300ml 26/22 neck for Varun Plants.Johd;;37,5;20;0;318,9;ND;CONVESSA;DIS.CLIENTE
PC000603_00;500;11,4;ACQUA PIATTA;192;68;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - Desert water new design development for all format 500ml;;36,9;;0;531;ND;CONICA;N000114_05
C010918_00;330;7,9;ACQUA PIATTA;172;58;29/25mm SHORTY NECK FINISH;;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 330ml Desert water bottle development;;23,5;;0;342,6;ND;CONVESSA;N000114_05
C010920_00;200;6,8;ACQUA PIATTA;127;55;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 200ml Desert water bottle development;;28,4;;0;218,5;ND;CONICA;N000114_21
C010926_00;360;28,7;LATTE;180;63,28;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 360ml dairy bottle design;;36,1;;0;384,2;L;NON STANDARD;N000036_85
C010916_00;750;41,5;DETERGENTE;245;109;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;OVALE;SERIOPLAST GLOBAL SERVICES SPA - TRIGGER 750ml;;72,5;;1;820,4;ND;NON STANDARD;DIS.CLIENTE
C010925_00;250;15,2;LATTE;133,2;63,41;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 250ml dairy bottle design;;28,2;;0;276,6;L;NON STANDARD;N000036_85
C010924_00;200;15,2;LATTE;124;61,11;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 200ml dairy bottle design;;34;;0;234;L;NON STANDARD;N000036_85
C010917_00;500;19;THE;208,5;65,5;COLLO 38 mm SECONDO DIS. CLIENTE;0;PETALOIDE;ml;MULTIPRODUCT;TONDA;Coca-Cola European Partners Germany GmbH (Halle) -400 ml Fuze-;;26,3;14;1;523,8;MP;CONCAVA;38 mm CLIENTE
C010921_00;180;15,2;LATTE;118;59,7;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company -180ml dairy bottle design;;32,5;;0;212;L;NON STANDARD;N000036_85
C010788_02;5000;64;ACQUA PIATTA;359;170;COLLO 38 mm SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;RETTANGOLARE;ǁguas das Caldas de Penacova, Lda. - PENACOVA #3 - DIS - 5L;;57,1;;0;1527,7;ND;CONVESSA;38 mm CLIENTE
C010631_03;10000;232;ALTRO;337,5;238,42;COLLO GENERICO SECONDO DIS. CLIENTE;0;NON STANDARD;ml;STACKABLE;RETTANGOLARE;10Lt Stackable for AdBlue;;48,7;;US;10227,9;ST;NON STANDARD;DIS.CLIENTE
C010910_00;500;20;ALTRO;207;63;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;STRAIGHT WALL;TONDA;500 ml PL glassa Ponti;;32,5;;;521;SW;CONVESSA;DIS.CLIENTE
C010884_02;3100;52;ACQUA PIATTA;307;139,5;COLLO 38 mm SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;RETTANGOLARE;ǁguas das Caldas de Penacova, Lda. - PENACOVA #3 - DIS - 6L;;13,8;;0;3107,8;ND;CONICA;38 mm CLIENTE
C010915_00;1000;55;ALTRO;253,7;82,5;28mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - TOLEDO family 1000cc;;36,3;;;1059,8;SW;CONCAVA;N000122_18
C010429_03;200;22;ALTRO;159,58;75;27 mm SP 410;0;PIATTO;ml;NON DEFINITA;OVALE;ALEN DEL NORTE 200 ml bottle design, 22g;;38,5;;1;222,1;ND;CONCAVA;N000266_02
C010892_01;300;16,5;SUCCO;193,06;56,5;26/22 mm;0;PETALOIDE;ml;NON DEFINITA;TONDA;Update Reboost Line 5 26.22 300ml;;44,6;20;0;326,5;ND;CONVESSA;N000311_59
C010914_00;750;50;ALTRO;216,1;75;28mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - TOLEDO family 750cc;;36,3;;;795;SW;CONCAVA;N000122_18
C010594_01;275;14;BIBITA GASATA;167;60;28mm PCO 1881;4;PETALOIDE;ml;NON DEFINITA;TONDA;RECALL Nativa-Milotur (Modifica) 275cc CSD;;44,9;19;PI;303,4;ND;CONCAVA;N000051_86
C005802_01;10000;118;ACQUA PIATTA;411,6;202,4;COLLO GENERICO SECONDO DIS. CLIENTE;1;PETALOIDE;ml;GENERICO SWIRL;TONDA;ALPLA SPA - ALPLA Mex. Ciel 10.2L, 118g;;52;48,9;;10379,2;G;CONVESSA;DIS.CLIENTE
C010905_01;750;25;ALTRO;220;74;29mm OIL;0;PIATTO;ml;NON DEFINITA;TONDA;GEPACK - Empresa Transformadora de Plasticos, SA - 1 Cav MIK 750 7500ml ccurvas;;22;;0;760,7;ND;CONICA;N000006_56
C201292_02;375;27,5;ALCOOL;184;66,8;28mm KERR NECK FINISH;0;CHAMPAGNE;ml;NON DEFINITA;TONDA;PHILLIPS DISTILLING -375 ml LICORE BOTTLE;;61,8;;0;413,6;ND;NON STANDARD;N000330_00
c010902_01;65;8;ALTRO;88,7;45,9;18mm SNAL FLANGE;0;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - NEW BOTTLE REVERSE - disegno bottiglia;;25,2;;0;72,72;ND;NON STANDARD;N000327_01
C010913_00;500;37;ALTRO;173;70;28mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - TOLEDO family 500cc - neck28mm;;34,2;;0;535,4;SW;CONVESSA;N000122_18
C010911_00;400;34;ALTRO;153,2;67;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - TOLEDO family 400cc;;30,5;;0;425,2;SW;CONVESSA;N000011_33
C010884_01;3100;52;ACQUA PIATTA;307;139,5;COLLO 38 mm SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;RETTANGOLARE;ǁguas das Caldas de Penacova, Lda. - PENACOVA #3 - DIS - 6L;;21,5;;0;3115,4;ND;CONICA;38 mm CLIENTE
C010840_03;75;12,3;ALTRO;115,2;34;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - PEGASO 75 ml;;23,9;;0;85,8;SW;CONVESSA;N000011_33
C010450_03;5000;42,6;ACQUA PIATTA;333,5;165,5;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;QUADRA;KOLORWORD PERF 4H: 5000 ML - BLUE SQUARE KOLOR WORLD PACKAGING (PTY) LTD;;37,8;;0;5055,6;ND;CONICA;38 mm CLIENTE
C301959_01;500;33;SUCCO;215;61,6;COLLO PCO SECONDO DIS. CLIENTE;0;NON STANDARD;ml;NON DEFINITA;TONDA;Uni-Presidnet - 500ml Juice;;;;;519,3;ND;CONVESSA;PCO-CLIENTE
C010909_00;2000;43;BIBITA GASATA;348;103,8;COLLO PCO SECONDO DIS. CLIENTE;3,6;PETALOIDE;ml;NON DEFINITA;TONDA;THIRSTI 2000 ML CSD - Thirst WW 2000ml new base;;45,9;51;0;2036,8;ND;CONCAVA;PCO-CLIENTE
C010904_00;1000;25;OLIO;242,4;83;29 mm FOR EDIBLE OIL VER.009;0;PIATTO;ml;OLIO;TONDA;OLEIFICIO F.LLI PORTARO - 1000ml simil vetro;;36,5;;0;1000;OL;CONVESSA;N200011_00
C010908_00;500;22;ALTRO;232;59,9;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;QUADRA;GEPACK - Empresa Transformadora de Plasticos, SA - 1 cav QUADRADA 500ml SPON 29/21;;48,3;;0;522,2;ND;CONICA;DIS.CLIENTE
C010434_05;1250;45,4;BIBITA GASATA;299,56;88;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;;TONDA;fondi schweppes (pollini/brusadin) - ACQUA MINERALE SAN BENEDETTO S.p.A.;;49,5;35;;1280,7;;CONCAVA;DIS.CLIENTE
C010905_00;750;25;ALTRO;220;74;29mm OIL;0;PIATTO;ml;NON DEFINITA;TONDA;GEPACK - Empresa Transformadora de Plasticos, SA - 1 Cav MIK 750 7500ml ccurvas;;22;;0;760,7;ND;CONICA;N000006_56
C010903_00;65;8;ALTRO;90;44,7;18mm SNAL FLANGE;;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - Nutracorp 65ml - disegno bottiglia;;23,3;;PI;71,9;ND;NON STANDARD;N000327_01
c010902_00;65;8;ALTRO;88,7;45,9;18mm SNAL FLANGE;0;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - NEW BOTTLE REVERSE - disegno bottiglia;;25,2;;0;73,49;ND;NON STANDARD;N000327_01
C010779_01;5000;68;ACQUA PIATTA;314,97;165,44;38 mm BERICAP VER.85;0;PIATTO;ml;NON DEFINITA;TONDA;ENKADOR FIBRAS SINTETICAS - Omizu 5L disegno;;51,9;;0;5167,6;ND;CONVESSA;N000036_85
C010899_00;500;20,5;ACQUA PIATTA;222,5;64,2;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;MARAVILHA DECIMAL LDA - BRAGANCA 2 - 500ml ARTIGO disegno;;38,3;14;0;531;ND;CONCAVA;NOV-30/25 CLI
C009513_04;1000;41;DETERGENTE;223,62;89,05;28 mm SP 410;0;PIATTO;ml;NON DEFINITA;TRIANGOLARE;Dasty - 1000 ml Bermuda;;36,5;;0;1039,8;ND;CONICA;N000067_24
C010856_02;2000;36,5;ACQUA PIATTA;332;104;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;HCCB Goe-2000ml water bottle;;40,5;;PI;2030,2;ND;CONCAVA;DIS.CLIENTE
C010337_01;500;30;SOSTANZA CREMOSA;187;65;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;QUADRA;QCAP (PTY) LTD T/A QPET - QCAP/QPET - 500 ml Mamas;;23,1;;0;520,3;ND;CONCAVA;38 mm CLIENTE
C004661_05;2000;48;ACQUA PIATTA;311,9;104,5;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;RETTANGOLARE;SANYU - KFG- 2,0 L;;50,9;;;2103,1;ND;NON STANDARD;PCO-CLIENTE
C010881_00;1750;42;ALCOOL;335;105;28mm PCO 1881;4;PETALOIDE;ml;NON DEFINITA;TONDA;1750 ml bottle technical drawing;;59,6;45;0;1783,5;ND;CONVESSA;N000051_86
C010856_01;2000;35,62;ACQUA PIATTA;332;104;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;HCCB Goe-2000ml water bottle;;40,9;;PI;2030,8;ND;CONCAVA;DIS.CLIENTE
C010895_00;1500;38;ACQUA PIATTA;328,5;87,5;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;MARAVILHA DECIMAL LDA - BRAGANCA 1 - 1500ml ARTIGO;;33,4;15,5;0;1522,5;ND;CONCAVA;NOV-30/25 CLI
PC000597_02;65;8;ALTRO;88,7;45,9;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - NEW BOTTLE REVERSE - disegno bottiglia;;25,2;;0;75;ND;NON STANDARD;DIS.CLIENTE
PC000590_01;65;8;ALTRO;68;29,5;COLLO GENERICO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - Nutracorp 65ml - disegno bottiglia;;23;;PI;272,5;ND;NON STANDARD;DIS.CLIENTE
C010893_00;75;12,3;ALTRO;103,1;37;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;LUCE 75 ml - disegno bottiglia - Ho.bag srl;;26;;0;89;SW;NON STANDARD;N000011_33
C010892_00;300;16,5;SUCCO;193,05;56,5;26/22 mm;0;PETALOIDE;ml;NON DEFINITA;TONDA;Reboost Bottle Drawing;;44,6;20;0;326,3;ND;CONVESSA;N000311_59
C010450_02;5000;70;ACQUA PIATTA;333,5;147,2;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;QUADRA;KOLORWORD PERF 4H: 5000 ML - BLUE SQUARE;;49,3;;0;5134,3;ND;CONICA;38 mm CLIENTE
C010867_03;1000;94;ACQUA GASATA;240,3;85;38mm 2 LEADS;4;NON STANDARD;ml;NON DEFINITA;TONDA;SodaStream Industries Ltd. - 1000ml Tritan - ciblab;;72,8;;;1022;ND;CONVESSA;N000283_02
C010864_01;100;16,5;ALTRO;110;41;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;LUCE 100 ml - disegno bottiglia - Ho.bag srl;;25,8;;0;115,8;SW;NON STANDARD;N000011_33
C010627_03;500;9,8;ACQUA PIATTA;188;68;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 500ml Al Sahra;;22,1;;0;511,6;ND;CONICA;N000114_05
C010865_01;50;12,3;ALTRO;78;37;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;LUCE 50 ml - disegno bottiglia - Ho.bag srl;;24,1;;0;62;SW;NON STANDARD;N000011_33
C010824_02;250;23;ALTRO;159,7;51;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;SUBLIME 250 ml - disegno bottiglia - Ho.bag srl;;29,4;;0;269,5;SW;NON STANDARD;N000011_33
C010823_02;200;21;ALTRO;150,3;47;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;SUBLIME 200 ml - disegno bottiglia - Ho.bag srl;;26,8;;0;215;SW;NON STANDARD;N000011_33
C010822_02;150;16,5;ALTRO;136,1;43;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;SUBLIME 150 ml - disegno bottiglia - Ho.bag srl;;24,9;;0;163;SW;NON STANDARD;N000011_33
C010624_02;200;6,8;ACQUA PIATTA;122,5;55;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 200ml Al shara;;18,2;;0;209,3;ND;CONICA;N000114_21
PC000598_01;1000;41;DETERGENTE;223,62;89,05;28 mm SP 410;0;PIATTO;ml;NON DEFINITA;TRIANGOLARE;Dasty - 1000 ml Bermuda;;36,42;;0;1039,8;ND;CONICA;N000067_23
C201300_00;1000;55;ALTRO;292,1;78,74;38mm SP 400;0;NON STANDARD;ml;HEAT SET;TONDA;CONTAINERS CRAFTERS-1lts-HEAT SET BOTTLE;;13,21;;0;1032,8;H;NON STANDARD;N000083_45
C010820_02;100;12,3;ALTRO;113,2;39;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;SUBLIME 100 ml - disegno bottiglia - Ho.bag srl;;22,6;;0;110;SW;NON STANDARD;N000011_33
C010840_02;75;12,3;ALTRO;129,4;34;24 mm SP 410;0;PIATTO;ml;STRAIGHT WALL;TONDA;HO.BAG - PEGASO 75 ml;;25,3;;0;87;SW;CONVESSA;N000011_33
C010670_05;600;24,2;ISOTONICO;220,81;71,17;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;HEAT SET;TONDA;Bebidas Arcacontinental Ecuador Arcador S.A. - 600 ml preforma de 24,2;;15,41;;PI;639,2;H;CONICA;DIS.CLIENTE
PC000598_00;1000;41;DETERGENTE;224,62;89,05;28 mm SP 410;0;PIATTO;ml;NON DEFINITA;TRIANGOLARE;Dasty - 1000 ml Bermuda;;37,52;;0;1040,3;ND;CONICA;N000067_22
C010890_00;200;11,23;BIBITA GASATA;162,5;50,5;COLLO GENERICO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;ORBIT: 200 ml CSD bottle-GME30.40;;37,1;19;1;226,1;ND;CONVESSA;DIS.CLIENTE
C010888_00;250;11,23;BIBITA GASATA;172;54;COLLO GENERICO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;ORBIT: 250 ml CSD bottle-GME30.40;;37,9;20;1;278,1;ND;CONVESSA;DIS.CLIENTE
C010883_00;750;38;DETERGENTE;239;112;28 mm SP 400;0;PIATTO;ml;NON DEFINITA;OVALE;Italchimica 2 - 750ml trigger;;31;;;771,4;ND;NON STANDARD;N000009_19
C010664_01;2000;42,6;OLIO;281,5;129;38 mm BERICAP VER.85;0;PIATTO;ml;NON DEFINITA;RETTANGOLARE;KOLORWORLD: 2L TJS;;40,6;;0;2048,6;ND;CONICA;N000036_85
C010671_06;1000;34,5;ISOTONICO;254,06;84,6;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;HEAT SET;TONDA;Bebidas Arcacontinental Ecuador Arcador S.A.- 1000 ml preforma de 34.5 g / 38.1g;;15,41;;PI;1052,5;H;CONICA;DIS.CLIENTE
PC000597_01;65;8;ALTRO;88,7;45,9;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - NEW BOTTLE REVERSE - disegno bottiglia;;25,2;;0;75;ND;NON STANDARD;DIS.CLIENTE
C010889_00;330;15,5;ACQUA PIATTA;169,5;61;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;MARAVILHA DECIMAL LDA - BRAGANCA 2 - 330ml ARTIGO disegno;;34,5;13;0;354,2;ND;CONCAVA;NOV-30/25 CLI
C301938_02;2000;32,95;ALTRO;308;105;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 2L water;;;;;2032;ND;CONVESSA;N000114_05
C004661_04;2000;48;ACQUA PIATTA;320,8;104,5;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;RETTANGOLARE;Sanyu 2050ml - bottiglia;;55,9;;;2176,2;ND;NON STANDARD;PCO-CLIENTE
C301937_03;1500;25,1;ALTRO;301,6;89;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 1.5L water;;;;;1533,4;ND;CONVESSA;N000114_05
C201292_01;375;27,5;ALCOOL;184;65,5;28mm KERR NECK FINISH;0;CHAMPAGNE;ml;NON DEFINITA;TONDA;PHILLIPS DISTILLING -375 ml LICORE BOTTLE;;59;;0;406,6;ND;NON STANDARD;N000330_00
C301951_01;950;59,23;LATTE;233,83;86;COLLO 38 mm SECONDO DIS. CLIENTE;0;NON STANDARD;;NON DEFINITA;POLIGONALE;JUNLEBAO - 950ml MILK;;37;;;983,7;ND;CONVESSA;38 mm CLIENTE
C301950_01;450;29,39;LATTE;164;73;COLLO 38 mm SECONDO DIS. CLIENTE;0;NON STANDARD;;NON DEFINITA;POLIGONALE;JUNLEBAO - 450ml MILK;;34,2;;;483,2;ND;CONVESSA;38 mm CLIENTE
C301936_03;1000;19,8;ALTRO;266,5;77;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 1L water;;;;;1025,3;ND;CONVESSA;N000114_05
C301935_03;535;11;ALTRO;220;62,4;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 535ml water;;;;;558,6;ND;CONVESSA;N000114_05
C301934_03;350;8,5;ALTRO;180;56,5;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 350ml water;;;;;367,1;ND;CONVESSA;N000114_05
C201292_00;375;29,5;ALCOOL;184;65,5;28mm KERR NECK FINISH;0;CHAMPAGNE;ml;NON DEFINITA;TONDA;PHILLIPS DISTILLING -375 ml LICORE BOTTLE;;58;;0;405,3;ND;NON STANDARD;N000330_00
C010754_01;50;10,2;ALTRO;47,8;50,9;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;BOCCA LARGA;TONDA;"SERIOPLAST GLOBAL SERVICES - Lenor ""project Gaudi""";;;;0;60,5;BL;CONICA;PCO-CLIENTE
C010887_00;1000;34,7;BIBITA GASATA;280;89;28mm PCO 1881 ISBT-21;4;PETALOIDE;ml;NON DEFINITA;TONDA;POLYOAK 1000 ML PLEAZERS;;57,1;33,5;PI;1044,6;ND;CONICA;N000264_34
C010884_00;3100;52;ACQUA PIATTA;307;139,5;COLLO 38 mm SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;RETTANGOLARE;ǁguas das Caldas de Penacova, Lda. - PENACOVA #3 - DIS - 6L;;41,9;;0;3156,8;ND;CONICA;38 mm CLIENTE
C010671_05;1000;34,5;ISOTONICO;254,06;84,6;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;HEAT SET;TONDA;Bebidas Arcacontinental Ecuador Arcador S.A.- 1000 ml preforma de 34.5 g / 38.1g;;15,41;;PI;1051,7;H;CONICA;DIS.CLIENTE
PC000597_00;65;8;ALTRO;90;45,9;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;OVALE;PET Verpackungen GmbH Deutschland - NEW BOTTLE REVERSE - disegno bottiglia;;25,2;;0;74,9;ND;NON STANDARD;DIS.CLIENTE
C010879_00;5000;115,5;OLIO;304;196,487;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;RETTANGOLARE;AAK (UK) Limited - 5000ml;;44;;;5104,1;ND;CONVESSA;DIS.CLIENTE
C008274_05;400;90;ACQUA PIATTA;207,2;58;43 mm 2 LEADS;0;PIATTO;ml;NON DEFINITA;TONDA;SIPA S.p.A. - Test Flacone per Greiner Austria;;;;;426;ND;CONICA;N000081_08
C301934_02;350;8,5;ALTRO;180;56,5;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 350ml water;;;;;367,1;ND;CONVESSA;N000114_05
C301936_02;1000;19,8;ALTRO;266,5;77;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 1L water;;;;;1025,3;ND;CONVESSA;N000114_05
C301935_02;535;11;ALTRO;220;62,4;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 535ml water;;;;;558,6;ND;CONVESSA;N000114_05
C301938_01;2000;32,95;ALTRO;308;105;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 2L water;;;;;2032;ND;CONVESSA;N000114_05
C301937_02;1500;25,1;ALTRO;301,6;89;29/25mm SHORTY NECK FINISH;0;NON STANDARD;ml;NON DEFINITA;TONDA;Asia Brewery - 1.5L water;;;;;1533,4;ND;CONVESSA;N000114_05
C301956_00;550;26;ACQUA PIATTA;228;61;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;NON STANDARD;ml;NON DEFINITA;TONDA;Wanglaoji - 550ml;;23,5;;;561,5;ND;CONVESSA;NOV-30/25 CLI
C004661_03;2000;38,23;ACQUA PIATTA;319,9;104,5;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;RETTANGOLARE;SANYU - KFG- 2,0 L;;55,8;;;2176;ND;NON STANDARD;PCO-CLIENTE
C010532_02;500;23;ACQUA GASATA;231;68,4;COLLO PCO SECONDO DIS. CLIENTE;2,7;PETALOIDE;ml;NON DEFINITA;TONDA;500ml khrustalnaya / TOO KAZPUMP FLOW;;39,4;23;0;521;ND;CONICA;PCO-CLIENTE
C010867_02;1000;94;ACQUA GASATA;240,3;85;38mm 2 LEADS;4;NON STANDARD;ml;NON DEFINITA;TONDA;SodaStream Industries Ltd. - 1000ml Tritan - ciblab;;72,8;;;1025,2;ND;CONVESSA;N000283_02
PC000596_00;1000;32,5;BIBITA GASATA;282;84;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;tavola tecnica preliminare 1000 ml PET - CHORTOQ MINERAL WATER;;46,4;30;;1029,5;ND;CONVESSA;PCO-CLIENTE
PC000595_00;500;22;BIBITA GASATA;225;69;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;tavola tecnica preliminare 500 ml PET - CHORTOQ MINERAL WATER;;50,8;25;;533,9;ND;CONVESSA;PCO-CLIENTE
C010877_00;330;7,9;ACQUA PIATTA;167,2;58;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 330ml Al Sahra;;16;;0;337,7;ND;CONVESSA;N000114_05
C010875_00;900;29;BIBITA GASATA;254,8;84;COLLO PCO SECONDO DIS. CLIENTE;3,8;PETALOIDE;ml;MULTIPRODUCT;TONDA;SAN MIGUEL INDUSTRIAL ECUADORSANMINDEC S.A. - 900ml, 1881 - 29g;;48,1;33;PI;935,1;MP;CONICA;PCO-CLIENTE
