pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN010075_00;N000013_86;26,60;5,00;21,60;123,00;2,46;23,98;25,50;2,02;44,00;23,97;28,00;33,00;21,74;21,00;1;Bell;11,90;160;60;28mm PCO 1810;n
PN010594_00;N000114_05;26,50;2,40;24,10;114,10;2,55;26,30;28,00;2,30;17,60;27,82;29,00;32,50;25,10;12,60;3;Bell;9,30;250;72;29/25mm SHORTY NECK FINISH;n
PN010190_00;N000051_21;26,50;3,60;22,90;114,93;2,92;23,00;25,50;2,34;35,18;35,18;28,00;33,00;21,74;16,13;1;Bell;10,70;500;96;28mm PCO1873;n
PN009976_00;N000114_05;26,50;2,40;24,10;100,00;3,65;23,67;28,00;2,92;16,60;28,00;29,00;32,50;25,10;12,60;3;Bell;13,20;500;128;29/25mm SHORTY NECK FINISH;n
PN008635_00;N000036_85;26,50;4,40;22,10;104,00;2,91;25,20;36,00;2,33;20,80;36,00;38,00;43,00;33,40;16,50;3;Bell;10,90;250;72;38 mm BERICAP VER.85;n
PN006335_00;N000117_19;26,50;7,20;19,30;60,05;3,00;64,74;64,74;1,90;12,91;0,00;70,00;69,75;63,65;13,16;2;Straight;10,90;500;32;70 mm 2 LEADS;n
PN006335_00;N000117_19;26,50;7,20;19,30;60,05;3,00;64,74;64,74;1,90;12,91;0,00;70,00;69,75;63,65;13,16;2;Straight;10,90;500;32;70 mm 2 LEADS;n
PN006335_00;N000117_19;26,50;7,20;19,30;60,05;3,00;64,74;64,74;1,90;12,91;0,00;70,00;69,75;63,65;13,16;2;Straight;10,90;500;32;70 mm 2 LEADS;n
PN003538_03;N000114_05;26,50;2,40;24,10;112,00;2,92;24,36;28,00;2,37;17,60;0,00;29,00;32,50;25,10;12,60;3;Bell;11,20;500;96;29/25mm SHORTY NECK FINISH;n
PN010184_00;N000264_34;26,30;3,80;22,50;122,00;2,44;24,46;25,50;2,07;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;11,80;160;60;28mm PCO 1881 ISBT-21;n
PN010070_01;N000264_34;26,30;3,80;22,50;122,00;2,50;23,98;25,50;2,12;43,00;23,97;28,00;33,00;21,74;17,00;1;Bell;11,90;160;60;28mm PCO 1881 ISBT-21;n
PN010611_00;N000114_05;26,00;2,40;23,60;111,50;2,57;26,39;28,00;2,18;17,60;27,86;29,00;32,50;25,10;12,60;3;Bell;9,40;250;72;29/25mm SHORTY NECK FINISH;n
PN010560_01;N000140_59;26,00;3,80;22,20;115,00;2,66;24,36;25,50;2,00;23,50;25,38;28,00;33,00;21,74;17,00;1;Bell;11,90;500;128;28mm PCO 1881;n
PN008486_00;N000311_14;26,00;2,59;23,41;115,00;2,72;25,00;25,00;2,39;21,00;24,96;26,00;31,50;21,74;15,06;1;Straight;9,40;350;96;26/22 mm;n
PN006516_00;N000114_05;26,00;2,40;23,60;112,10;2,95;23,60;27,95;2,27;18,00;0,00;29,00;32,50;25,10;12,60;3;Bell;10,90;350;128;29/25mm SHORTY NECK FINISH;n
PN010184_02;N000264_34;25,90;3,80;22,10;122,00;2,38;24,46;25,50;2,07;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;11,60;160;60;28mm PCO 1881 ISBT-21;n
PN007025_00;N000051_86;25,90;3,80;22,10;118,20;2,48;24,83;25,50;2,10;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,00;500;144;28mm PCO 1881;n
PN009175_00;N000264_71;25,80;3,80;22,00;110,82;2,60;25,50;25,50;2,03;22,00;25,50;28,00;33,00;21,74;17,00;1;Straight;12,50;500;180;28mm PCO 1881;n
PN010181_00;N000218_00;25,70;2,05;23,65;117,00;2,66;24,46;24,25;2,11;38,00;24,44;26,00;29,25;21,74;12,00;1;Reverse;12,20;160;60;26mm GRAVITY 2;n
PN010063_01;N000218_00;25,70;2,05;23,65;117,00;2,72;23,98;24,25;2,18;38,00;23,97;26,00;29,25;21,74;12,00;1;Bell;12,30;160;60;26mm GRAVITY 2;n
PN006716_02;N000117_20;25,20;7,00;18,20;55,00;3,20;64,72;64,72;2,00;12,91;0,00;70,00;69,04;63,63;13,16;2;Straight;13,90;500;32;70 mm 2 LEADS;n
PN006743_00;N000117_20;25,20;7,00;18,20;50,80;3,10;64,72;64,72;2,39;12,91;0,00;70,00;69,04;63,63;13,16;2;Straight;13,60;500;32;70 mm 2 LEADS;n
PN006720_00;N000117_20;25,20;7,00;18,20;50,80;3,02;64,72;64,72;2,00;12,91;0,00;70,00;69,04;63,63;13,16;2;Straight;13,90;500;32;70 mm 2 LEADS;n
PN006719_00;N000117_20;25,20;7,00;18,20;55,00;2,90;64,72;64,72;2,00;12,91;0,00;70,00;69,04;63,63;13,16;2;Straight;13,70;500;32;70 mm 2 LEADS;n
PN006465_00;N000117_20;25,20;7,00;18,20;55,00;3,50;64,72;64,72;2,00;12,91;0,00;70,00;69,04;63,63;13,16;2;Straight;12,50;500;32;70 mm 2 LEADS;n
PN010138_00;N000114_05;25,00;2,40;22,60;109,00;2,77;24,57;28,00;2,30;17,60;27,58;29,00;32,50;25,10;12,60;3;Bell;10,70;250;72;29/25mm SHORTY NECK FINISH;n
PN009942_00;N000264_65;25,00;3,21;21,79;100,00;3,55;22,80;25,50;2,66;22,00;25,31;28,00;33,00;21,74;17,00;1;Bell;13,20;500;180;28mm PCO 1881 LIGHT;n
PN008493_00;N000162_20;25,00;3,17;21,83;100,00;2,97;25,00;29,00;2,38;19,90;28,23;32,00;34,70;27,00;14,90;2;Bell;10,90;350;96;32mm 2 LEADS;n
PN010526_01;N000140_59;24,50;3,80;20,70;87,80;4,06;22,77;25,70;3,61;22,00;25,15;28,00;33,00;21,74;17,00;1;Bell;24,50;500;128;28mm PCO 1881;n
PN009268_01;N000006_55;24,50;2,65;21,85;107,00;2,80;24,00;24,00;2,38;32,00;23,76;29,00;30,70;23,40;10,40;0;Straight;10,90;500;128;29 mm PER OLIO (NUOVA SIRMA);n
PN009268_00;N000006_55;24,50;2,65;21,85;100,60;3,08;24,00;24,00;2,46;32,00;23,76;29,00;30,70;23,40;10,40;0;Straight;11,90;500;128;29 mm PER OLIO (NUOVA SIRMA);n
PN010592_00;N000114_05;24,00;2,40;21,60;111,10;2,56;24,43;28,00;2,30;17,60;27,84;29,00;32,50;25,10;12,60;3;Bell;8,80;250;72;29/25mm SHORTY NECK FINISH;n
PN009344_01;N000114_05;24,00;2,40;21,60;100,00;3,15;23,67;28,00;2,52;16,60;28,00;29,00;32,50;25,10;12,60;3;Bell;11,30;500;128;29/25mm SHORTY NECK FINISH;n
PN008667_01;N000300_26;24,00;7,10;16,90;97,00;2,57;20,81;35,00;2,00;24,50;32,27;38,00;41,00;30,00;18,30;2;Bell;12,00;250;48;38 mm BERICAP VER.53;s
PN008490_00;N000311_14;24,00;2,59;21,41;95,00;3,65;22,90;25,00;3,10;21,00;24,49;26,00;31,50;21,74;15,06;1;Bell;11,50;350;96;26/22 mm;n
PN007943_00;N000162_00;24,00;3,70;20,30;91,00;3,50;23,60;29,00;2,90;21,00;0,00;32,00;35,50;26,50;15,41;2;Bell;13,90;500;96;32mm 2 LEADS;n
PN004331_01;N000010_30;24,00;6,40;17,60;90,00;2,80;23,30;34,50;2,24;23,00;0,00;38,00;40,70;30,20;17,83;2;Bell;10,80;500;96;38 mm 2 LEADS;s
PN003538_01;N000114_15;24,00;2,50;21,50;112,00;2,53;24,36;28,00;2,05;17,60;0,00;29,00;33,50;25,10;12,60;3;Bell;10,00;500;96;29/25mm SHORTY NECK FINISH;n
PN003538_00;N000114_15;24,00;2,50;21,50;112,00;2,53;24,36;28,00;2,05;17,60;0,00;29,00;33,50;25,10;12,60;3;Bell;10,00;500;96;29/25mm SHORTY NECK FINISH;n
PN009043_00;N000311_13;23,60;2,68;20,92;115,91;2,47;23,29;25,70;2,09;21,00;25,47;26,00;33,00;21,74;15,06;1;Bell;9,80;500;96;26/22 mm;n
PN005867_00;N000051_86;23,60;3,80;19,80;96,50;3,32;22,80;25,50;2,60;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,40;500;144;28mm PCO 1881;n
PN003639_00;N000051_86;23,60;3,80;19,80;103,00;2,68;24,50;25,70;2,14;22,00;25,62;28,00;33,00;21,74;17,00;1;Bell;11,00;500;144;28mm PCO 1881;n
PN010610_00;N000114_05;23,50;2,40;21,10;111,50;2,24;26,39;28,00;2,02;17,60;27,86;29,00;32,50;25,10;12,60;3;Bell;8,40;250;72;29/25mm SHORTY NECK FINISH;n
PN007712_00;N000170_16;23,50;1,94;21,56;114,90;2,52;24,25;24,25;2,14;17,00;24,25;26,00;29,25;21,74;12,00;3;Straight;9,00;250;72;26/12 EXALITE;n
PN003375_00;N000051_86;23,50;3,80;19,70;95,00;3,38;23,00;25,50;2,54;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;12,50;500;96;28mm PCO 1881;n
PN007720_00;N000170_17;23,10;1,55;21,55;114,90;2,52;24,25;24,25;2,07;17,00;24,25;26,00;29,25;21,74;12,00;3;Straight;9,00;250;72;26/22 NECK FINISH EXALITE;n
PN010516_02;N000140_59;23,00;3,80;19,20;87,80;3,65;22,77;25,70;3,24;22,00;25,15;28,00;33,00;21,74;17,00;1;Bell;14,10;500;128;28mm PCO 1881;n
PN009347_02;N000264_34;23,00;3,80;19,20;93,50;3,76;21,01;25,50;2,74;21,00;25,50;28,00;33,00;21,74;17,00;1;Bell;12,50;500;128;28mm PCO 1881 ISBT-21;n
PN009214_00;N300140_18;23,00;4,60;18,40;83,57;3,40;24,80;24,80;2,55;22,00;24,78;28,00;32,00;20,35;17,00;1;Straight;11,50;500;144;"28mm PCO ""1881MODIF"" FOR HEATSET";n
PN006931_00;N000051_86;23,00;3,80;19,20;96,00;3,19;22,88;25,50;2,25;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,40;500;144;28mm PCO 1881;n
PN003143_00;N000013_86;23,00;5,00;18,00;90,67;4,01;20,84;25,50;3,12;29,00;0,00;28,00;33,00;21,74;21,00;1;Bell;15,10;500;96;28mm PCO 1810;n
PN007668_01;N000006_53;22,60;2,19;20,41;108,58;2,42;25,49;24,24;1,80;34,00;25,48;28,00;33,00;21,74;12,00;0;Reverse;9,60;250;48;28mm SNAP FLANGE;n
PN009381_00;N000311_41;22,50;2,56;19,94;116,00;2,35;23,19;25,00;2,05;18,50;24,85;26,00;33,00;21,74;12,90;1;Bell;9,90;250;96;26/22 mm 30.37 GME;n
PN008430_02;N000264_34;22,50;3,80;18,70;99,00;2,94;22,79;25,50;2,23;22,00;25,50;28,00;33,00;21,74;17,00;1;Bell;9,30;350;72;28mm PCO 1881 ISBT-21;n
PN006923_00;N000140_59;22,30;3,80;18,50;97,57;3,43;21,14;25,50;2,91;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;14,10;500;128;28mm PCO 1881;n
PN007104_01;N000264_56;22,28;3,80;18,48;97,00;3,41;20,80;25,50;2,79;23,50;0,00;28,00;33,00;21,74;17,00;1;Bell;13,50;500;128;28mm PCO 1881;n
PN006123_00;N000264_06;22,20;3,80;18,40;96,50;2,99;22,76;25,50;2,40;22,50;0,00;28,00;33,00;21,74;17,00;1;Bell;10,90;500;180;28mm PCO 1881;n
PN010189_00;N000013_86;22,00;5,00;17,00;94,00;3,65;20,00;25,50;2,74;25,00;25,50;28,00;33,00;21,74;21,00;1;Bell;12,50;500;128;28mm PCO 1810;n
PN010137_00;N000114_05;22,00;2,40;19,60;109,00;2,30;24,57;28,00;2,18;17,60;27,58;29,00;32,50;25,10;12,60;3;Bell;9,20;250;72;29/25mm SHORTY NECK FINISH;n
PN009350_01;N000114_05;22,00;2,40;19,60;100,00;2,77;23,67;28,00;2,22;16,60;28,00;29,00;32,50;25,10;12,60;3;Bell;10,70;500;128;29/25mm SHORTY NECK FINISH;n
PN008947_01;N000311_05;22,00;2,41;19,59;115,00;2,33;23,18;25,00;2,05;18,50;24,85;26,00;31,00;21,74;12,90;1;Bell;8,70;250;96;26/22 mm 30.37 GME;n
PN008947_00;N000311_41;22,00;2,56;19,44;116,00;2,19;23,89;25,00;2,00;18,50;24,91;26,00;33,00;21,74;12,90;1;Bell;8,50;250;96;26/22 mm 30.37 GME;n
PN008482_00;N000311_14;22,00;2,59;19,41;85,00;3,88;22,90;25,00;3,30;21,00;24,49;26,00;31,50;21,74;15,06;1;Bell;11,70;350;96;26/22 mm;n
PN007890_00;N000051_69;22,00;3,80;18,20;93,00;3,21;22,80;25,00;2,57;21,00;25,00;28,00;31,00;21,74;17,00;1;Bell;10,70;500;128;28mm PCO 1881 HF;s
PN007876_00;N000170_08;22,00;1,90;20,10;114,20;2,29;24,30;24,25;1,99;25,70;0,00;26,00;29,25;21,74;12,00;3;Reverse;8,50;250;72;26/12 NECK FINISH EXALITE;n
PN007704_00;N000170_16;22,00;1,94;20,06;114,90;2,30;24,25;24,25;2,07;17,00;24,25;26,00;29,25;21,74;12,00;3;Straight;8,50;250;72;26/12 EXALITE;n
PN007349_01;N300051_82;22,00;3,80;18,20;96,00;3,56;21,20;25,50;2,87;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,60;500;144;28mm PCO 1881 VER.82;n
PN004331_00;N000010_30;22,00;6,40;15,60;85,00;2,24;21,84;34,50;2,24;23,00;0,00;38,00;40,70;30,20;17,83;2;Bell;10,60;500;96;38 mm 2 LEADS;s
PN004072_00;N000051_69;22,00;3,80;18,20;87,00;3,56;22,80;25,00;2,67;22,00;0,00;28,00;31,00;21,74;17,00;1;Bell;12,00;500;96;28mm PCO 1881 HF;s
PN007719_00;N000170_17;21,62;1,55;20,07;114,90;2,30;24,25;24,25;2,07;17,00;24,25;26,00;29,25;21,74;12,00;3;Straight;8,50;250;72;26/22 NECK FINISH EXALITE;n
PN005866_00;N000051_86;21,60;3,80;17,80;96,50;2,86;22,80;25,50;2,50;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,40;500;144;28mm PCO 1881;n
PN009691_02;N000264_34;21,50;3,80;17,70;109,00;2,49;21,60;25,50;2,00;23,00;25,03;28,00;33,00;21,74;17,00;1;Bell;9,60;250;72;28mm PCO 1881 ISBT-21;n
PN009507_00;N000162_19;21,50;3,30;18,20;81,90;4,37;20,39;29,00;3,28;21,91;26,53;32,00;35,70;27,00;14,90;2;Bell;16,50;500;128;32mm 2 LEADS;n
PN010460_01;N000264_43;21,00;3,80;17,20;93,00;3,50;19,95;25,50;2,62;23,00;24,74;28,00;33,00;21,74;17,00;1;Bell;10,80;500;144;28mm PCO 1881;n
PN010513_03;N000140_59;21,00;3,80;17,20;87,80;3,15;22,77;25,70;2,80;22,00;25,15;28,00;33,00;21,74;17,00;1;Bell;12,20;500;128;28mm PCO 1881;n
PN010460_00;N000290_11;21,00;3,80;17,20;93,00;3,50;19,95;25,50;2,62;23,00;24,74;28,00;33,00;21,74;17,00;1;Bell;11,60;500;180;28mm PCO 1881;n
PN008570_00;N000300_26;21,00;7,10;13,90;87,00;2,53;19,61;34,60;2,10;24,50;31,72;38,00;41,00;30,00;18,30;2;Bell;11,20;250;48;38 mm BERICAP VER.53;s
PN008120_00;N000264_34;21,00;3,80;17,20;88,00;3,60;20,89;25,50;2,88;22,00;25,04;28,00;33,00;21,74;17,00;1;Bell;11,90;250;96;28mm PCO 1881 ISBT-21;n
PN008034_00;N000264_54;21,00;3,10;17,90;96,50;2,86;22,80;25,50;2,50;22,00;0,00;28,00;32,00;21,74;17,00;1;Bell;9,20;500;144;28mm PCO 1881 LIGHT;n
PN007639_00;N000051_86;21,00;3,80;17,20;91,40;3,56;20,22;25,50;2,67;23,00;24,56;28,00;33,00;21,74;17,00;1;Bell;10,80;500;144;28mm PCO 1881;n
PN006897_01;N000051_86;21,00;3,80;17,20;94,00;3,32;20,50;25,50;2,66;22,50;0,00;28,00;33,00;21,74;17,00;1;Bell;11,80;500;180;28mm PCO 1881;n
PN006897_00;N000051_86;21,00;3,80;17,20;93,00;2,91;22,80;25,50;2,33;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,60;500;180;28mm PCO 1881;n
PN010398_00;N000264_61;20,70;3,78;16,92;86,57;2,65;20,84;25,50;3,01;23,50;24,92;28,00;33,00;21,74;17,00;1;Bell;11,90;350;96;28mm PCO 1881;n
PN006935_00;N000051_86;20,70;3,80;16,90;86,67;3,65;20,84;25,50;3,03;24,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,20;500;144;28mm PCO 1881;n
PN008533_01;N000264_34;20,50;3,80;16,70;99,00;2,52;22,79;25,50;2,14;22,00;25,50;28,00;33,00;21,74;17,00;1;Bell;8,80;350;72;28mm PCO 1881 ISBT-21;n
PN010147_01;N000036_85;20,00;4,40;15,60;76,00;3,35;22,40;35,50;2,95;21,00;35,17;38,00;43,00;33,40;16,50;3;Bell;13,50;160;32;38 mm BERICAP VER.85;n
PN010095_00;N000311_13;20,00;2,68;17,32;89,21;3,03;22,73;25,50;2,58;20,10;25,27;26,00;33,00;21,74;15,06;1;Bell;9,00;250;72;26/22 mm;n
PN009687_02;N000264_34;20,00;3,80;16,20;109,00;2,20;21,60;25,50;1,95;23,00;25,03;28,00;33,00;21,74;17,00;1;Bell;8,90;250;72;28mm PCO 1881 ISBT-21;n
PN007692_00;N000264_34;20,00;3,80;16,20;82,00;3,40;22,61;25,50;2,72;22,50;25,07;28,00;33,00;21,74;17,00;1;Bell;11,30;500;128;28mm PCO 1881 ISBT-21;n
PN006050_00;N000051_86;20,00;3,80;16,20;97,80;3,17;18,85;25,50;2,54;25,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,80;500;128;28mm PCO 1881;n
PN004251_00;N000051_86;20,00;3,80;16,20;84,00;3,15;22,72;25,70;2,80;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;11,80;500;128;28mm PCO 1881;n
PN006741_00;N000264_48;19,90;3,78;16,12;86,67;3,59;20,96;25,50;2,70;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,90;350;96;28mm PCO 1881;n
PN009751_01;N000114_05;19,80;2,40;17,40;100,00;2,53;22,50;28,00;2,20;19,60;26,90;29,00;32,50;25,10;12,60;3;Bell;9,20;250;32;29/25mm SHORTY NECK FINISH;n
PN007891_00;N000051_69;19,50;3,80;15,70;79,00;3,59;22,60;25,00;2,87;21,00;25,00;28,00;31,00;21,74;17,00;1;Bell;10,90;500;128;28mm PCO 1881 HF;s
PN006899_01;N000051_86;19,50;3,80;15,70;94,00;2,92;20,50;25,50;2,34;22,50;0,00;28,00;33,00;21,74;17,00;1;Bell;10,60;500;180;28mm PCO 1881;n
PN006899_00;N000051_86;19,50;3,80;15,70;93,00;2,56;22,80;25,50;2,25;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,80;500;180;28mm PCO 1881;n
PN009279_00;N000006_55;19,00;2,65;16,35;92,70;2,40;24,00;24,00;2,04;32,00;23,76;29,00;30,70;23,40;10,40;0;Straight;9,20;500;128;29 mm PER OLIO (NUOVA SIRMA);n
PN008905_00;N000264_34;19,00;3,80;15,20;86,00;3,16;20,90;25,50;2,69;22,00;24,90;28,00;33,00;21,74;17,00;1;Bell;9,20;250;48;28mm PCO 1881 ISBT-21;n
PN008494_00;N000162_20;19,00;3,17;15,83;85,00;2,75;23,50;29,00;2,20;19,90;27,94;32,00;34,70;27,00;14,90;2;Bell;9,50;350;96;32mm 2 LEADS;n
PN008479_00;N000311_14;19,00;2,59;16,41;85,00;3,09;22,90;25,00;2,63;21,00;24,49;26,00;31,50;21,74;15,06;1;Bell;9,70;350;96;26/22 mm;n
PN008032_00;N000264_54;19,00;3,10;15,90;96,50;2,44;22,80;25,50;2,20;22,00;0,00;28,00;32,00;21,74;17,00;1;Bell;8,30;500;144;28mm PCO 1881 LIGHT;n
PN006900_01;N000051_86;19,00;3,80;15,20;94,00;2,79;20,50;25,50;2,23;22,50;0,00;28,00;33,00;21,74;17,00;1;Bell;10,20;500;180;28mm PCO 1881;n
PN006900_00;N000051_86;19,00;3,80;15,20;93,00;2,45;22,80;25,50;2,16;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,50;500;180;28mm PCO 1881;n
PN006307_00;N000008_04;19,00;1,08;17,92;94,00;2,60;22,70;24,00;2,21;11,50;0,00;26,00;28,20;20,90;6,50;0;Bell;8,40;250;72;26/21 mm OIL;n
PN005654_00;N000051_86;19,00;3,80;15,20;88,00;3,17;20,28;25,70;2,54;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,90;250;48;28mm PCO 1881;n
PN009116_00;N000311_14;18,50;2,59;15,91;88,00;2,80;22,64;25,50;2,24;21,06;25,00;26,00;31,50;21,74;15,06;1;Bell;9,50;350;128;26/22 mm;n
PN008866_00;N000051_86;18,25;3,80;14,45;79,15;3,56;20,49;25,50;3,11;25,00;23,83;28,00;33,00;21,74;17,00;1;Bell;10,60;500;144;28mm PCO 1881;n
PN006975_00;N000051_86;18,10;3,80;14,30;91,00;2,37;22,60;25,50;2,01;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;8,60;250;96;28mm PCO 1881;n
PN004000_01;N000187_39;18,10;4,40;13,70;74,07;3,28;20,18;36,50;2,67;21,57;0,00;38,00;43,00;33,40;16,50;3;Bell;11,90;500;96;38mm 3 LEADS;n
PN004000_00;N000187_39;18,10;4,40;13,70;74,07;3,28;20,18;36,50;2,67;21,57;0,00;38,00;43,00;33,40;16,50;3;Bell;11,90;500;96;38mm 3 LEADS;n
PN004658_00;N000051_86;18,05;3,80;14,25;87,80;2,93;20,50;25,20;2,00;25,00;0,00;28,00;33,00;21,74;17,00;1;Bell;11,00;500;128;28mm PCO 1881;n
PN004642_00;N000051_86;18,05;3,80;14,25;87,80;2,91;20,50;25,20;2,18;25,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,80;500;128;28mm PCO 1881;n
PN004657_00;N000051_86;18,05;3,80;14,25;92,00;2,46;21,20;25,20;2,00;29,20;0,00;28,00;33,00;21,74;17,00;1;Bell;10,50;500;128;28mm PCO 1881;n
PN004656_00;N000051_86;18,05;3,80;14,25;87,80;2,98;20,50;25,20;2,24;25,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,80;500;128;28mm PCO 1881;n
PN010482_01;N000311_14;18,00;2,59;15,41;89,00;3,00;20,70;25,20;2,55;21,50;24,41;26,00;31,50;21,74;15,06;1;Bell;9,70;500;180;26/22 mm;n
PN010464_01;N000264_34;18,00;3,80;14,20;86,00;2,87;20,90;25,50;2,44;22,00;25,08;28,00;33,00;21,74;17,00;1;Bell;9,60;250;96;28mm PCO 1881 ISBT-21;n
PN010464_00;N000264_49;18,00;3,10;14,90;86,00;3,06;20,90;25,50;2,60;22,00;25,08;28,00;32,00;21,74;17,00;1;Bell;10,20;250;96;28mm PCO 1881 LIGHT;n
PN008125_00;N000114_05;18,00;2,40;15,60;87,60;2,68;22,73;28,00;2,14;29,60;22,69;29,00;32,50;25,10;12,60;3;Bell;9,20;250;72;29/25mm SHORTY NECK FINISH;n
PN007641_00;N000051_86;18,00;3,80;14,20;91,40;2,71;20,22;25,50;2,17;23,00;24,56;28,00;33,00;21,74;17,00;1;Bell;8,70;500;144;28mm PCO 1881;n
PN007026_00;N000051_86;18,00;3,80;14,20;84,00;2,64;22,72;25,70;2,35;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,80;500;128;28mm PCO 1881;n
PN006475_00;N000051_86;18,00;3,80;14,20;93,00;2,77;19,50;25,50;2,22;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;10,20;350;128;28mm PCO 1881;n
PN006438_00;N000051_86;18,00;3,80;14,20;93,00;2,77;19,50;25,50;2,22;23,00;0,00;28,00;33,00;21,74;17,00;1;Bell;9,50;350;128;28mm PCO 1881;n
PN006288_00;N000051_86;18,00;3,80;14,20;96,00;2,42;20,80;25,50;2,06;16,50;0,00;28,00;33,00;21,74;17,00;1;Bell;10,00;500;128;28mm PCO 1881;n
PN008988_01;N000051_21;17,80;3,60;14,20;90,30;2,94;19,79;24,70;2,24;22,00;23,80;28,00;33,00;21,74;16,13;1;Bell;9,90;500;180;28mm PCO1873;n
PN008988_00;N000051_21;17,80;3,60;14,20;90,30;2,94;19,79;24,70;2,24;22,00;23,80;28,00;33,00;21,74;16,13;1;Bell;9,90;500;180;28mm PCO1873;n
PN008784_00;N000264_09;17,80;3,80;14,00;88,98;3,01;19,11;25,50;2,26;23,00;24,84;28,00;33,00;21,74;17,00;1;Bell;9,50;350;128;28mm PCO 1881;n
PN005879_00;N000114_29;17,80;2,50;15,30;96,50;2,40;22,46;27,50;1,90;17,60;0,00;29,00;34,00;25,10;12,60;3;Bell;8,20;250;72;29/25mm SHORTY NECK FINISH;n
PN005267_00;N000051_21;17,80;3,60;14,20;86,93;2,87;20,50;25,20;2,15;15,56;0,00;28,00;33,00;21,74;16,13;1;Bell;10,70;500;96;28mm PCO1873;n
PN009584_01;N000005_02;17,70;4,94;12,76;51,99;3,60;22,45;48,21;2,54;11,30;52,05;53,00;52,05;46,66;11,99;1;Bell;16,90;500;48;M53 SP400 NECK FINISH;n
PN007616_00;N000051_86;17,70;3,80;13,90;87,60;2,72;20,79;25,50;2,20;22,00;25,16;28,00;33,00;21,74;17,00;1;Bell;8,80;500;144;28mm PCO 1881;n
PN007616_01;N000051_86;17,65;3,80;13,85;87,60;2,70;20,79;25,50;2,31;22,00;25,16;28,00;33,00;21,74;17,00;1;Bell;8,80;500;144;28mm PCO 1881;n
PN007677_00;N000051_21;17,60;3,60;14,00;86,00;3,23;20,70;24,70;2,10;25,00;22,70;28,00;33,00;21,74;16,13;1;Bell;11,90;500;128;28mm PCO1873;n
PN010467_00;N000311_55;17,50;2,64;14,86;84,06;3,06;20,90;25,50;2,60;20,06;25,08;26,00;32,00;21,74;15,06;1;Bell;10,20;250;96;26/22 mm;n
PN010236_01;N000268_19;17,50;4,30;13,20;93,00;2,18;22,73;25,50;2,01;27,00;23,40;28,00;33,00;21,74;21,00;1;Bell;9,50;160;60;28mm PCO 1810 LIGHT;n
PN008941_00;N000264_34;17,50;3,80;13,70;86,40;2,85;20,69;25,50;2,78;23,50;24,78;28,00;33,00;21,74;17,00;1;Bell;9,10;500;144;28mm PCO 1881 ISBT-21;n
PN008119_00;N000264_34;17,50;3,80;13,70;89,00;3,06;18,50;25,50;2,45;22,00;24,85;28,00;33,00;21,74;17,00;1;Bell;10,50;500;180;28mm PCO 1881 ISBT-21;n
PN007625_00;N000311_23;17,50;2,77;14,73;84,88;3,16;20,96;25,50;2,50;20,21;0,00;26,00;33,00;21,74;15,21;1;Bell;9,30;350;96;26/22 mm;n
PN010435_01;N000003_24;17,30;3,20;14,10;95,20;2,47;20,95;28,00;2,03;23,50;27,15;30,00;34,00;25,10;18,50;3;Bell;7,70;250;96;30/25 mm NECK FINISH LIGHT VER. 24;n
PN008147_00;N000264_34;17,30;3,80;13,50;89,00;3,00;18,50;25,50;2,43;22,00;24,85;28,00;33,00;21,74;17,00;1;Bell;10,40;500;180;28mm PCO 1881 ISBT-21;n
PN007677_01;N000264_64;17,20;3,18;14,02;86,00;3,23;20,70;24,70;2,10;25,00;22,70;28,00;33,00;21,74;16,13;1;Bell;11,90;500;128;28mm PCO1873;n
PN010217_01;N000218_00;17,00;2,05;14,95;84,00;2,66;22,73;24,25;2,37;18,00;23,40;26,00;29,25;21,74;12,00;1;Bell;10,90;160;60;26mm GRAVITY 2;n
