pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN009696_00;N000264_34;43,30;3,80;39,50;131,00;4,02;26,50;25,50;3,22;37,00;26,48;28,00;33,00;21,74;17,00;1;Reverse;16,90;350;96;28mm PCO 1881 ISBT-21;n
PN002737_01;N000140_56;43,20;3,80;39,40;126,50;3,92;29,20;25,50;2,94;44,00;29,20;28,00;33,00;21,74;17,00;1;Reverse;16,30;500;96;28mm PCO 1881;n
PN006238_00;N000140_56;43,00;3,80;39,20;131,81;3,69;28,70;25,70;2,65;40,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;15,20;350;96;28mm PCO 1881;n
PN006431_00;N000268_01;42,70;5,06;37,64;144,60;3,15;27,80;25,70;2,90;40,62;0,00;28,00;33,00;21,74;21,00;1;Reverse;13,00;500;96;28mm PCO 1810;n
PN008924_01;N000264_71;42,50;3,80;38,70;141,00;3,28;28,08;25,50;2,42;43,00;28,05;28,00;33,00;21,74;17,00;1;Reverse;14,50;500;144;28mm PCO 1881;n
PN008924_00;N000264_71;42,50;3,80;38,70;139,00;3,35;28,10;25,50;2,63;43,00;28,06;28,00;33,00;21,74;17,00;1;Reverse;14,60;500;144;28mm PCO 1881;n
PN010363_00;N000264_34;42,30;3,80;38,50;124,30;3,88;25,70;25,70;2,80;41,00;28,46;28,00;33,00;21,74;17,00;1;Straight;16,40;500;144;28mm PCO 1881 ISBT-21;n
PN005977_00;N000051_86;42,00;3,80;38,20;139,00;3,32;28,00;25,70;2,72;42,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;15,30;350;96;28mm PCO 1881;n
PN006932_00;N000051_86;40,20;3,80;36,40;123,00;4,05;26,50;25,50;3,20;38,50;26,50;28,00;33,00;21,74;17,00;1;Reverse;14,90;500;144;28mm PCO 1881;n
PN007669_01;N000006_53;39,60;2,19;37,41;126,00;3,56;28,60;24,24;2,30;35,00;28,57;28,00;33,00;21,74;12,00;0;Reverse;14,80;250;48;28mm SNAP FLANGE;n
PN008653_00;N000311_05;39,32;2,41;36,91;130,00;3,44;27,84;25,00;2,54;37,00;27,81;26,00;31,00;21,74;12,90;1;Reverse;14,10;500;128;26/22 mm 30.37 GME;n
PN008653_00;N000311_05;39,32;2,41;36,91;130,00;3,44;27,84;25,00;2,54;37,00;27,81;26,00;31,00;21,74;12,90;1;Reverse;13,90;350;96;26/22 mm 30.37 GME;n
PN009586_01;N000117_27;39,20;6,65;32,55;81,99;3,74;33,77;65,20;2,75;11,30;69,04;70,00;69,04;63,65;11,99;1;Bell;19,90;500;32;M70 SP400 NECK FINISH;n
PN008483_00;N000311_14;39,00;2,59;36,41;130,00;3,71;26,00;25,00;3,15;34,00;26,14;26,00;31,50;21,74;15,06;1;Reverse;14,20;350;96;26/22 mm;n
PN005123_00;N000051_86;39,00;3,80;35,20;129,20;3,55;26,50;25,70;2,69;36,50;0,00;28,00;33,00;21,74;17,00;1;Reverse;15,60;350;84;28mm PCO 1881;n
PN010535_02;N000140_59;38,00;3,80;34,20;134,00;3,22;27,50;25,50;2,58;42,00;26,97;28,00;33,00;21,74;17,00;1;Reverse;16,60;500;200;28mm PCO 1881;n
PN010535_01;N000264_56;38,00;3,80;34,20;134,00;3,22;27,50;25,50;2,58;42,00;26,97;28,00;33,00;21,74;17,00;1;Reverse;16,60;500;200;28mm PCO 1881;n
PN007871_00;N000051_69;38,00;3,80;34,20;113,00;4,00;27,80;25,00;3,20;35,00;27,77;28,00;31,00;21,74;17,00;1;Reverse;15,50;250;48;28mm PCO 1881 HF;s
PN005873_01;N000187_89;38,00;4,30;33,70;108,00;4,00;28,00;36,00;3,00;22,27;0,00;38,00;43,00;33,42;16,50;3;Bell;16,10;350;96;38mm 3 LEADS - BC VENTED;n
PN005651_00;N000051_86;38,00;3,80;34,20;119,50;3,92;26,40;25,70;2,94;34,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;16,20;250;48;28mm PCO 1881;n
